Curte games?,Curte futebol?,Curte livros?,Curte jogos de tabuleiro?,Curte jogos de fórmula 1?,Curte jogos de MMA?,Idade,Estado que mora atualmente,Área de Formação,Tempo que atua na área de dados,Posição da cadeira (senioridade),Você se considera uma pessoa feliz?
Sim,Não,Sim,Sim,Sim,Não,34,MG,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Não,Não,Sim,26,MG,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Sim,39,SC,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Sim,Sim,Sim,Sim,Não,27,SP,Exatas,Mais de 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Não,Não,29,CE,Exatas,De 1 ano a 2 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Não,Sim,32,SP,Exatas,De 0 a 6 meses,Júnior,Sim
Não,Sim,Sim,Sim,Sim,Não,40,SC,Exatas,Não atuo,Iniciante,Sim
Não,Não,Sim,Sim,Não,Não,31,PE,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Não,Sim,Não,Não,34,RJ,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Sim,Sim,Não,26,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
Não,Sim,Sim,Não,Sim,Sim,30,PE,Exatas,Não atuo,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,28,AM,Exatas,de 2 anos a 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Não,Não,28,CE,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,34,SP,Exatas,de 2 anos a 4 anos,Pleno,Sim
Sim,Não,Não,Sim,Não,Não,42,SP,Exatas,Não atuo,Júnior,Sim
Não,Sim,Sim,Não,Não,Não,24,PR,Exatas,De 1 ano a 2 anos,Pleno,Sim
Sim,Não,Não,Sim,Não,Não,29,SP,Exatas,Não atuo,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,27,SP,Exatas,De 0 a 6 meses,Iniciante,Não
Sim,Sim,Não,Não,Sim,Sim,35,MG,Exatas,Não atuo,Júnior,Não
Sim,Sim,Sim,Sim,Sim,Sim,44,SP,Exatas,Não atuo,Gerência,Não
Sim,Sim,Sim,Não,Sim,Não,27,RJ,Exatas,Mais de 4 anos,Pleno,Sim
